[1545, 2000]
[section-title, [78.0, 57.0, 522.0, 49.5], shoonya_5sOLOYVCY9CXB7, 6513968]
[section-title, [78.0, 106.5, 522.0, 49.5], shoonya_5sOLOYVCY9CXB7, 6513968]
[section-title, [78.0, 156.0, 522.0, 49.5], shoonya_5sOLOYVCY9CXB7, 6513968]
[section-title, [747.0, 59.0, 508.0, 49.5], shoonya_6sWQYSAYV1JATO, 6513968]
[section-title, [1550.0, 113.0, 225.0, 49.5], shoonya_0sUAVY5RSHK75J, 6513968]
[contact-info, [1420.0, 240.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 276.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 312.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 348.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 384.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 420.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 456.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 492.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 528.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 564.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 600.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 636.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 672.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 708.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[contact-info, [1420.0, 744.0, 476.0, 36.0], shoonya_3sQD2M2BRL2WS1, 6513968]
[unordered-list, [100.0, 259.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 295.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 331.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 367.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 403.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 439.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 475.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 511.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 547.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 583.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 619.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 655.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 691.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 727.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [100.0, 763.0, 366.0, 36.0], shoonya_1s82BNF8YK6UWX, 6513968]
[unordered-list, [759.0, 260.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 296.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 332.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 368.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 404.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 440.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 476.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 512.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 548.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 584.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 620.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 656.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[unordered-list, [759.0, 692.0, 373.0, 36.0], C5rJJZ3kPl, 6513968]
[website-link, [1488.0, 311.0, 343.0, 18.0], 2AeB1QhqEO, 6513968]
