[666, 436]
[folio, [161.0, 52.0, 88.0, 18.0], fuMngqbT5S, 6463562]
[paragraph, [44.0, 90.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 108.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 126.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 144.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 162.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 180.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 198.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 216.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 234.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 252.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 270.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 288.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 306.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 324.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 342.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 360.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 378.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 396.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 414.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 432.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 450.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 468.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 486.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 504.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 522.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[paragraph, [44.0, 540.0, 317.0, 18.0], shoonya_0sPUZF5M4UEOKE, 6463562]
[footnote, [98.0, 637.0, 245.0, 18.0], shoonya_2sBK45H7RQUPHJ, 6463562]
