[1754, 1241]
[ordered-list, [180.0, 99.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 135.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 171.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 207.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 243.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 279.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 315.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 351.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 387.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 423.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 459.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 495.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 531.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [180.0, 567.0, 918.0, 36.0], shoonya_1sO3UUGJ007SS7, 5706665]
[ordered-list, [143.0, 681.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 717.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 753.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 789.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 825.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 861.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 897.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 933.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 969.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 1005.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
[ordered-list, [143.0, 1041.0, 965.0, 36.0], shoonya_3sQ1EMLJKLJW2W, 5706665]
