[2200, 1700]
[section-title, [173.0, 184.0, 472.0, 52.5], shoonya_4sAAQK7RK9VS0X, 5659105]
[paragraph, [163.0, 240.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 276.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 312.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 348.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 384.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 420.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 456.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[paragraph, [163.0, 492.0, 1365.0, 36.0], shoonya_0sWHNP6DL1GA15, 5659105]
[section-title, [167.0, 562.0, 968.0, 52.5], shoonya_3sGUY6J60NYVLR, 5659105]
[paragraph, [172.0, 627.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 663.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 699.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 735.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 771.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 807.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 843.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 879.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
[paragraph, [172.0, 915.0, 1378.0, 36.0], shoonya_1s3S73EWK4TNBW, 5659105]
