[1162, 749]
[folio, [310.0, 79.0, 134.0, 18.0], shoonya_4sYVYWCD3SJEY1, 5700091]
[paragraph, [77.0, 125.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 143.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 161.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 179.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 197.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 215.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 233.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 251.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [77.0, 269.0, 604.0, 18.0], shoonya_2sVFSEOD4ITELA, 5700091]
[paragraph, [78.0, 298.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 316.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 334.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 352.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 370.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 388.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [78.0, 406.0, 596.0, 18.0], shoonya_1sJGFYL5JG64KM, 5700091]
[paragraph, [77.0, 437.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 455.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 473.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 491.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 509.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 527.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 545.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 563.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 581.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 599.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 617.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 635.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 653.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 671.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 689.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 707.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 725.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 743.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 761.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 779.0, 596.0, 18.0], shoonya_0s9AVLWIQUAIYG, 5700091]
[paragraph, [77.0, 814.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 832.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 850.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 868.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 886.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 904.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 922.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 940.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 958.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 976.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 994.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 1012.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 1030.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 1048.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
[paragraph, [77.0, 1066.0, 590.0, 18.0], shoonya_3s8DD3OET92QN2, 5700091]
