[1162, 749]
[folio, [332.0, 75.0, 82.0, 18.0], shoonya_3s20VE4X92UFJ0, 5699992]
[paragraph, [80.0, 119.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 137.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 155.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 173.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 191.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 209.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 227.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 245.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [80.0, 263.0, 601.0, 18.0], shoonya_2sMZH47QSJV8SW, 5699992]
[paragraph, [78.0, 297.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 315.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 333.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 351.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 369.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 387.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 405.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 423.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 441.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 459.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 477.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 495.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 513.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 531.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 549.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 567.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 585.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 603.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 621.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 639.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 657.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [78.0, 675.0, 596.0, 18.0], shoonya_0sN01FL2RY3QZ3, 5699992]
[paragraph, [77.0, 707.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 725.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 743.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 761.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 779.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 797.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 815.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 833.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 851.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 869.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 887.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 905.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 923.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 941.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 959.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 977.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 995.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 1013.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 1031.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 1049.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
[paragraph, [77.0, 1067.0, 591.0, 18.0], shoonya_1sC3C8NO1K1SG3, 5699992]
