[1565, 1152]
[paragraph, [737.0, 116.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 152.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 188.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 224.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 260.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 296.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 332.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 368.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 404.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 440.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 476.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 512.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 548.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 584.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 620.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 656.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 692.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 728.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 764.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 800.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 836.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 872.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 908.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 944.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 980.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1016.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1052.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1088.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1124.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1160.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1196.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1232.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1268.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1304.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1340.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1376.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [737.0, 1412.0, 306.0, 36.0], shoonya_6sJ4M28K450NX7, 5712693]
[paragraph, [100.0, 120.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 156.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 192.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 228.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 264.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 300.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [100.0, 336.0, 315.0, 36.0], shoonya_4sYD12HU7F2GH0, 5712693]
[paragraph, [420.0, 122.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 158.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 194.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 230.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 266.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 302.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 338.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 374.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 410.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 446.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 482.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 518.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 554.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 590.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 626.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 662.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 698.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 734.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 770.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 806.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 842.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 878.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 914.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [420.0, 950.0, 313.0, 36.0], shoonya_3sGSHDHGL9QA04, 5712693]
[paragraph, [99.0, 376.0, 316.0, 36.0], shoonya_1s7XTV0Q9RQM89, 5712693]
[paragraph, [99.0, 412.0, 316.0, 36.0], shoonya_1s7XTV0Q9RQM89, 5712693]
