[792, 612]
[folio, [208.0, 25.0, 230.0, 18.0], SlmGJm8oYi, 5743820]
[paragraph, [111.0, 57.0, 424.0, 18.0], shoonya_2sDQK4ASYSBJKG, 5743820]
[paragraph, [111.0, 75.0, 424.0, 18.0], shoonya_2sDQK4ASYSBJKG, 5743820]
[paragraph, [111.0, 93.0, 424.0, 18.0], shoonya_2sDQK4ASYSBJKG, 5743820]
[paragraph, [111.0, 111.0, 424.0, 18.0], shoonya_2sDQK4ASYSBJKG, 5743820]
[paragraph, [111.0, 152.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 170.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 188.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 206.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 224.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 242.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 260.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 278.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 296.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 314.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 332.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 350.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 368.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 386.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 404.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 422.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 440.0, 423.0, 18.0], shoonya_1s0DZKM01QYOKZ, 5743820]
[paragraph, [111.0, 484.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 502.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 520.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 538.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 556.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 574.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 592.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 610.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 628.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 646.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 664.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
[paragraph, [111.0, 682.0, 423.0, 18.0], shoonya_0sX74KGVQPVMUJ, 5743820]
