[1754, 1241]
[folio, [904.0, 108.0, 195.0, 36.0], WzQbZlEeus, 5747026]
[paragraph, [141.0, 163.0, 956.0, 36.0], shoonya_0sQN2Z8SAAOOKN, 5747026]
[paragraph, [141.0, 199.0, 956.0, 36.0], shoonya_0sQN2Z8SAAOOKN, 5747026]
[paragraph, [138.0, 262.0, 964.0, 36.0], oOsjRz7CAh, 5747026]
[paragraph, [138.0, 298.0, 964.0, 36.0], oOsjRz7CAh, 5747026]
[paragraph, [138.0, 334.0, 964.0, 36.0], oOsjRz7CAh, 5747026]
[paragraph, [138.0, 370.0, 964.0, 36.0], oOsjRz7CAh, 5747026]
[paragraph, [142.0, 426.0, 957.0, 36.0], gRDaOkFQBl, 5747026]
[paragraph, [142.0, 462.0, 957.0, 36.0], gRDaOkFQBl, 5747026]
[paragraph, [131.0, 603.0, 969.0, 36.0], i81EenUlCm, 5747026]
[paragraph, [131.0, 639.0, 969.0, 36.0], i81EenUlCm, 5747026]
[paragraph, [131.0, 675.0, 969.0, 36.0], i81EenUlCm, 5747026]
[paragraph, [139.0, 753.0, 960.0, 36.0], Myg0EWThR8, 5747026]
[paragraph, [139.0, 789.0, 960.0, 36.0], Myg0EWThR8, 5747026]
[paragraph, [139.0, 825.0, 960.0, 36.0], Myg0EWThR8, 5747026]
[paragraph, [139.0, 861.0, 960.0, 36.0], Myg0EWThR8, 5747026]
[paragraph, [139.0, 897.0, 960.0, 36.0], Myg0EWThR8, 5747026]
[paragraph, [131.0, 956.0, 971.0, 36.0], a3dpGxDBn3, 5747026]
[paragraph, [131.0, 992.0, 971.0, 36.0], a3dpGxDBn3, 5747026]
[paragraph, [138.0, 1132.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1168.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1204.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1240.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1276.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1312.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1348.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1384.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1420.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
[paragraph, [138.0, 1456.0, 969.0, 36.0], LnxSdo0F3-, 5747026]
