[594, 353]
[headline, [127.0, 18.0, 96.0, 25.5], AXcjFfqx1F, 5701429]
[headline, [127.0, 43.5, 96.0, 25.5], AXcjFfqx1F, 5701429]
[paragraph, [8.0, 73.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 91.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 109.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 127.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 145.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 163.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 181.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 199.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 217.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 235.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 253.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 271.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 289.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 307.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 325.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 343.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 361.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 379.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 397.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 415.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 433.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 451.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [8.0, 469.0, 335.0, 18.0], shoonya_0sGKP0FMGS0HZ1, 5701429]
[paragraph, [11.0, 502.0, 329.0, 18.0], shoonya_1sM1DVGZJMZQ1R, 5701429]
[paragraph, [11.0, 520.0, 329.0, 18.0], shoonya_1sM1DVGZJMZQ1R, 5701429]
[paragraph, [11.0, 538.0, 329.0, 18.0], shoonya_1sM1DVGZJMZQ1R, 5701429]
[paragraph, [11.0, 556.0, 329.0, 18.0], shoonya_1sM1DVGZJMZQ1R, 5701429]
