[1545, 2000]
[section-title, [796.0, 211.0, 404.0, 49.5], KfbyN6tTVn, 6513870]
[section-title, [796.0, 260.5, 404.0, 49.5], KfbyN6tTVn, 6513870]
[section-title, [172.0, 424.0, 352.0, 49.5], H-nCGbtmRZ, 6513870]
[sidebar, [1501.0, 469.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 505.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 541.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 577.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 613.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 649.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 685.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 721.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[sidebar, [1501.0, 757.0, 358.0, 36.0], hKIiPgg5nC, 6513870]
[ordered-list, [709.0, 512.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 548.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 584.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 620.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 656.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 692.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 728.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 764.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 800.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 836.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 872.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 908.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 944.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 980.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1016.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1052.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1088.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1124.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1160.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1196.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[ordered-list, [709.0, 1232.0, 564.0, 36.0], rKYcdZs6ep, 6513870]
[paragraph, [144.0, 746.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [144.0, 782.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [144.0, 818.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [144.0, 854.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [144.0, 890.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [144.0, 926.0, 419.0, 36.0], 3R_5leuBQo, 6513870]
[paragraph, [139.0, 1208.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
[paragraph, [139.0, 1244.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
[paragraph, [139.0, 1280.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
[paragraph, [139.0, 1316.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
[paragraph, [139.0, 1352.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
[paragraph, [139.0, 1388.0, 426.0, 36.0], f-V3CSR9-o, 6513870]
