[1226, 792]
[unordered-list, [55.0, 104.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 122.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 140.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 158.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 176.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 194.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 212.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 230.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 248.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 266.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 284.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[unordered-list, [55.0, 302.0, 666.0, 18.0], shoonya_5sAG62WNKVCDFX, 5701168]
[section-title, [59.0, 350.0, 231.0, 30.0], bFdpxGN-w4, 5701168]
[ordered-list, [59.0, 381.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 399.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 417.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 435.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 453.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 471.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 489.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 507.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 525.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 543.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 561.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 579.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 597.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 615.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 633.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 651.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 669.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 687.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 705.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 723.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[ordered-list, [59.0, 741.0, 557.0, 18.0], vV1Ia48H0_, 5701168]
[paragraph, [53.0, 760.0, 362.0, 18.0], -_SoZVvrQZ, 5701168]
[ordered-list, [129.0, 789.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[ordered-list, [129.0, 807.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[ordered-list, [129.0, 825.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[ordered-list, [129.0, 843.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[ordered-list, [129.0, 861.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[ordered-list, [129.0, 879.0, 188.0, 18.0], 4lJDvj37FY, 5701168]
[section-title, [61.0, 921.0, 403.0, 30.0], Nx7f-OfFD5, 5701168]
[paragraph, [59.0, 954.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 972.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 990.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1008.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1026.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1044.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1062.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1080.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1098.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
[paragraph, [59.0, 1116.0, 667.0, 18.0], shoonya_1sLBLNVU9XT8KZ, 5701168]
