[1425, 1088]
[paragraph, [110.0, 99.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 117.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 135.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 153.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 171.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 189.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 207.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 225.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 243.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 261.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 279.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 297.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 315.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 333.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 351.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 369.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[paragraph, [110.0, 387.0, 839.0, 18.0], MkTx6emUdd, 5759082]
[section-title, [107.0, 475.0, 841.0, 30.0], LBuIL6Btaz, 5759082]
[section-title, [107.0, 505.0, 841.0, 30.0], LBuIL6Btaz, 5759082]
[paragraph, [106.0, 588.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 606.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 624.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 642.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 660.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 678.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 696.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 714.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 732.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 750.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 768.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 786.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 804.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 822.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[paragraph, [106.0, 840.0, 542.0, 18.0], caMRS9s_c8, 5759082]
[figure-caption, [636.0, 821.0, 309.0, 18.0], yVvmeUW2r3, 5759082]
[figure-caption, [636.0, 839.0, 309.0, 18.0], yVvmeUW2r3, 5759082]
[figure-caption, [636.0, 857.0, 309.0, 18.0], yVvmeUW2r3, 5759082]
[figure-caption, [636.0, 875.0, 309.0, 18.0], yVvmeUW2r3, 5759082]
[paragraph, [109.0, 948.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 966.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 984.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1002.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1020.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1038.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1056.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1074.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1092.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1110.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1128.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1146.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [109.0, 1164.0, 834.0, 18.0], shoonya_0sUFOSXKOQRVYT, 5759082]
[paragraph, [111.0, 1208.0, 837.0, 18.0], jrSB5vxZoM, 5759082]
[paragraph, [111.0, 1226.0, 837.0, 18.0], jrSB5vxZoM, 5759082]
[paragraph, [111.0, 1244.0, 837.0, 18.0], jrSB5vxZoM, 5759082]
[paragraph, [111.0, 1262.0, 837.0, 18.0], jrSB5vxZoM, 5759082]
[paragraph, [111.0, 1280.0, 837.0, 18.0], jrSB5vxZoM, 5759082]
[folio, [805.0, 1359.0, 137.0, 18.0], jWEsv7l5rp, 5759082]
