[1839, 1268]
[paragraph, [209.0, 177.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 213.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 249.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 285.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 321.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 357.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 393.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 429.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 465.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 501.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 537.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 573.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [209.0, 609.0, 941.0, 36.0], shoonya_0sO5GZCBK3LOFH, 5743520]
[paragraph, [215.0, 672.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 708.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 744.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 780.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 816.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 852.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 888.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 924.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 960.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 996.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1032.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1068.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1104.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1140.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1176.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1212.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1248.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1284.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1320.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1356.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1392.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1428.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
[paragraph, [215.0, 1464.0, 933.0, 36.0], Vl_eU1UN4c, 5743520]
