[792, 612]
[folio, [267.0, 38.0, 70.0, 18.0], tkBuvCmjOO, 6492435]
[paragraph, [97.0, 82.0, 403.0, 18.0], Gv26iFmvNQ, 6492435]
[paragraph, [97.0, 100.0, 403.0, 18.0], Gv26iFmvNQ, 6492435]
[paragraph, [96.0, 125.0, 406.0, 18.0], VpyXy7n5MD, 6492435]
[paragraph, [96.0, 143.0, 406.0, 18.0], VpyXy7n5MD, 6492435]
[paragraph, [97.0, 163.0, 407.0, 18.0], x5e6u8j9xX, 6492435]
[paragraph, [97.0, 181.0, 407.0, 18.0], x5e6u8j9xX, 6492435]
[paragraph, [97.0, 199.0, 407.0, 18.0], x5e6u8j9xX, 6492435]
[paragraph, [98.0, 225.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [98.0, 243.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [98.0, 261.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [98.0, 279.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [98.0, 297.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [98.0, 315.0, 404.0, 18.0], a5S1HCgYgl, 6492435]
[paragraph, [99.0, 344.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 362.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 380.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 398.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 416.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 434.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [99.0, 452.0, 411.0, 18.0], cKo69c1UZY, 6492435]
[paragraph, [103.0, 482.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 500.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 518.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 536.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 554.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 572.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 590.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 608.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [103.0, 626.0, 406.0, 18.0], 3SMj3N6ona, 6492435]
[paragraph, [92.0, 657.0, 415.0, 18.0], h_ilK571Nj, 6492435]
[paragraph, [92.0, 675.0, 415.0, 18.0], h_ilK571Nj, 6492435]
