[1625, 1211]
[section-title, [105.0, 128.0, 665.0, 49.5], JNMZH5SmrG, 5742911]
[paragraph, [789.0, 220.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 256.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 292.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 328.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 364.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 400.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 436.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 472.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 508.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 544.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 580.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 616.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 652.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 688.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 724.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 760.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [789.0, 796.0, 347.0, 36.0], 1JJo18CdGZ, 5742911]
[paragraph, [136.0, 226.0, 621.0, 36.0], 35P2q6A5YQ, 5742911]
[paragraph, [69.0, 329.0, 693.0, 36.0], Pzl3LS0lC0, 5742911]
[paragraph, [72.0, 397.0, 690.0, 36.0], yuVLpwO-Ku, 5742911]
[paragraph, [81.0, 467.0, 680.0, 36.0], oq17bWLs03, 5742911]
[paragraph, [69.0, 610.0, 701.0, 36.0], X7fn_A68jV, 5742911]
[paragraph, [69.0, 646.0, 701.0, 36.0], X7fn_A68jV, 5742911]
[paragraph, [71.0, 728.0, 686.0, 36.0], 2s18kL54b5, 5742911]
[paragraph, [68.0, 796.0, 690.0, 36.0], xFXX88HBFb, 5742911]
[sub-section-title, [837.0, 848.0, 247.0, 36.0], 8zmpKfWhWI, 5742911]
[paragraph, [63.0, 867.0, 699.0, 36.0], _0oW3b3iNi, 5742911]
[paragraph, [792.0, 887.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 923.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 959.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 995.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1031.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1067.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1103.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1139.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1175.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1211.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1247.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [792.0, 1283.0, 352.0, 36.0], DugdoQ1FfX, 5742911]
[paragraph, [66.0, 968.0, 698.0, 36.0], zdWJMyddCv, 5742911]
[paragraph, [66.0, 1112.0, 687.0, 36.0], o-joBEDsI2, 5742911]
[paragraph, [130.0, 1188.0, 583.0, 36.0], Z-m1-Fmm0A, 5742911]
[paragraph, [58.0, 1222.0, 698.0, 36.0], 7wvT4P1nJg, 5742911]
[paragraph, [65.0, 1292.0, 701.0, 36.0], CSXgOm_9Cm, 5742911]
[paragraph, [796.0, 1337.0, 338.0, 36.0], TS6xUpsXp5, 5742911]
[paragraph, [796.0, 1373.0, 338.0, 36.0], TS6xUpsXp5, 5742911]
[paragraph, [72.0, 1360.0, 693.0, 36.0], 9Jjyegk7UG, 5742911]
[paragraph, [72.0, 1396.0, 693.0, 36.0], 9Jjyegk7UG, 5742911]
