[1754, 1241]
[paragraph, [212.0, 141.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 177.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 213.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 249.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 285.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 321.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 357.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 393.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 429.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 465.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 501.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 537.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 573.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 609.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [212.0, 645.0, 899.0, 36.0], shoonya_0sW5YTA8M5VLPQ, 6470788]
[paragraph, [213.0, 730.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 766.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 802.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 838.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 874.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 910.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 946.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 982.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1018.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1054.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1090.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1126.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1162.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1198.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1234.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1270.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1306.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1342.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1378.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1414.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1450.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
[paragraph, [213.0, 1486.0, 895.0, 36.0], shoonya_1sHSON7J3LEDHE, 6470788]
