[2200, 1700]
[paragraph, [372.0, 111.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 147.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 183.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 219.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 255.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 291.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 327.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 363.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 399.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 435.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 471.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 507.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 543.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 579.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 615.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 651.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 687.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 723.0, 1136.0, 36.0], shoonya_0s32JPX6WVBPPA, 5733567]
[paragraph, [372.0, 806.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 842.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 878.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 914.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 950.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 986.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1022.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1058.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1094.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1130.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1166.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1202.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1238.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1274.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1310.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1346.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1382.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1418.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1454.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1490.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1526.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1562.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1598.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1634.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1670.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1706.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
[paragraph, [372.0, 1742.0, 1133.0, 36.0], shoonya_1sHMAE2GDMGZ0G, 5733567]
