[1162, 749]
[folio, [325.0, 75.0, 117.0, 18.0], shoonya_7s58QUVX04ZP6C, 5699820]
[paragraph, [83.0, 121.0, 591.0, 18.0], shoonya_6sCGDMW51NR434, 5699820]
[paragraph, [83.0, 139.0, 591.0, 18.0], shoonya_6sCGDMW51NR434, 5699820]
[paragraph, [83.0, 157.0, 591.0, 18.0], shoonya_6sCGDMW51NR434, 5699820]
[paragraph, [83.0, 175.0, 591.0, 18.0], shoonya_6sCGDMW51NR434, 5699820]
[paragraph, [83.0, 193.0, 591.0, 18.0], shoonya_6sCGDMW51NR434, 5699820]
[paragraph, [79.0, 226.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 244.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 262.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 280.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 298.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 316.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 334.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 352.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 370.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 388.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 406.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 424.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 442.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 460.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 478.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 496.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [79.0, 514.0, 587.0, 18.0], shoonya_1sSQJKEATYDFF2, 5699820]
[paragraph, [77.0, 545.0, 576.0, 18.0], shoonya_3sHELECQ9JXP2I, 5699820]
[paragraph, [77.0, 563.0, 576.0, 18.0], shoonya_3sHELECQ9JXP2I, 5699820]
[paragraph, [77.0, 581.0, 576.0, 18.0], shoonya_3sHELECQ9JXP2I, 5699820]
[paragraph, [75.0, 613.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 631.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 649.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 667.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 685.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 703.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 721.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 739.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 757.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 775.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 793.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 811.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 829.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 847.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 865.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 883.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 901.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 919.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 937.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 955.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 973.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 991.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[paragraph, [75.0, 1009.0, 586.0, 18.0], shoonya_0sYEIS0O2OXM92, 5699820]
[footnote, [73.0, 1040.0, 586.0, 18.0], shoonya_2s0QG1H1DC4KOW, 5699820]
[footnote, [73.0, 1058.0, 586.0, 18.0], shoonya_2s0QG1H1DC4KOW, 5699820]
