[1948, 1214]
[folio, [135.0, 168.0, 160.0, 36.0], AIQ8-VNJxC, 5731885]
[paragraph, [137.0, 234.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 270.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 306.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 342.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 378.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 414.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 450.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 486.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 522.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 558.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 594.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 630.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 666.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 702.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 738.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 774.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [137.0, 810.0, 906.0, 36.0], shoonya_0sB1CXO3RDFH1S, 5731885]
[paragraph, [145.0, 916.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 952.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 988.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1024.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1060.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1096.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1132.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1168.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1204.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1240.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1276.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1312.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1348.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1384.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[paragraph, [145.0, 1420.0, 871.0, 36.0], shoonya_1sXBPW3H6U383L, 5731885]
[section-title, [206.0, 1468.0, 83.0, 49.5], hgEBoS-e55, 5731885]
[paragraph, [161.0, 1505.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[paragraph, [161.0, 1541.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[paragraph, [161.0, 1577.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[paragraph, [161.0, 1613.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[paragraph, [161.0, 1649.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[paragraph, [161.0, 1685.0, 881.0, 36.0], shoonya_2sIEQUSHM9K2QM, 5731885]
[footnote, [200.0, 1748.0, 276.0, 36.0], shoonya_3sI9P4XUYA39UI, 5731885]
[folio, [509.0, 1844.0, 192.0, 36.0], HZpMfY-Ope, 5731885]
