[2334, 1650]
[paragraph, [189.0, 124.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 160.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 196.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 232.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 268.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 304.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 340.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 376.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 412.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 448.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 484.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 520.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 556.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 592.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [189.0, 628.0, 1380.0, 36.0], shoonya_0sH8MQUJ50PU8N, 5653088]
[paragraph, [234.0, 665.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 701.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 737.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 773.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 809.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 845.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 881.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 917.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 953.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 989.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1025.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1061.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1097.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1133.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1169.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1205.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1241.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1277.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1313.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1349.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [234.0, 1385.0, 1351.0, 36.0], xH1et2s0wM, 5653088]
[paragraph, [218.0, 1435.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1471.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1507.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1543.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1579.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1615.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1651.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1687.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1723.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1759.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1795.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [218.0, 1831.0, 1316.0, 36.0], X33EP6GVOu, 5653088]
[paragraph, [201.0, 1878.0, 1343.0, 36.0], xlvWH8PN9f, 5653088]
[paragraph, [201.0, 1914.0, 1343.0, 36.0], xlvWH8PN9f, 5653088]
[paragraph, [201.0, 1950.0, 1343.0, 36.0], xlvWH8PN9f, 5653088]
[paragraph, [201.0, 1986.0, 1343.0, 36.0], xlvWH8PN9f, 5653088]
[paragraph, [201.0, 2022.0, 1343.0, 36.0], xlvWH8PN9f, 5653088]
[folio, [374.0, 2103.0, 381.0, 36.0], OitLaqEHuA, 5653088]
[folio, [374.0, 2139.0, 381.0, 36.0], OitLaqEHuA, 5653088]
