[2043, 1462]
[paragraph, [202.0, 163.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 199.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 235.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 271.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 307.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 343.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 379.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 415.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 451.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 487.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 523.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [202.0, 559.0, 1105.0, 36.0], shoonya_1sNUX65P99SYAN, 5650941]
[paragraph, [204.0, 659.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 695.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 731.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 767.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 803.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 839.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 875.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 911.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [204.0, 947.0, 1105.0, 36.0], shoonya_4sGOW5VJXNZMIW, 5650941]
[paragraph, [208.0, 1026.0, 1094.0, 36.0], shoonya_5sU7IAV2BPGB1Q, 5650941]
[paragraph, [208.0, 1062.0, 1094.0, 36.0], shoonya_5sU7IAV2BPGB1Q, 5650941]
[paragraph, [208.0, 1098.0, 1094.0, 36.0], shoonya_5sU7IAV2BPGB1Q, 5650941]
[paragraph, [208.0, 1189.0, 1089.0, 36.0], shoonya_0s0VA89EVTKVVN, 5650941]
[paragraph, [208.0, 1225.0, 1089.0, 36.0], shoonya_0s0VA89EVTKVVN, 5650941]
[paragraph, [208.0, 1261.0, 1089.0, 36.0], shoonya_0s0VA89EVTKVVN, 5650941]
[paragraph, [208.0, 1297.0, 1089.0, 36.0], shoonya_0s0VA89EVTKVVN, 5650941]
[paragraph, [208.0, 1333.0, 1089.0, 36.0], shoonya_0s0VA89EVTKVVN, 5650941]
[paragraph, [202.0, 1420.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1456.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1492.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1528.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1564.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1600.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [202.0, 1636.0, 1104.0, 36.0], shoonya_2sQO7ACJOO6L9C, 5650941]
[paragraph, [211.0, 1689.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1725.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1761.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1797.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1833.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1869.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1905.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
[paragraph, [211.0, 1941.0, 1098.0, 36.0], shoonya_3s4FHFJ93FOZH8, 5650941]
