[950, 553]
[chapter-title, [146.0, 37.0, 265.0, 30.0], shoonya_0sRJ2T6K437PZS, 5776683]
[paragraph, [25.0, 65.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 83.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 101.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 119.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 137.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 155.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 173.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [25.0, 191.0, 516.0, 18.0], hkCtGDFKf5, 5776683]
[paragraph, [22.0, 206.0, 522.0, 18.0], BUOG9g0OiY, 5776683]
[paragraph, [22.0, 224.0, 522.0, 18.0], BUOG9g0OiY, 5776683]
[paragraph, [22.0, 242.0, 522.0, 18.0], BUOG9g0OiY, 5776683]
[paragraph, [22.0, 260.0, 522.0, 18.0], BUOG9g0OiY, 5776683]
[paragraph, [22.0, 278.0, 522.0, 18.0], BUOG9g0OiY, 5776683]
[paragraph, [25.0, 302.0, 522.0, 18.0], -yzUIG4BDe, 5776683]
[paragraph, [25.0, 320.0, 522.0, 18.0], -yzUIG4BDe, 5776683]
[paragraph, [24.0, 345.0, 525.0, 18.0], SN0vy-1TDw, 5776683]
[paragraph, [24.0, 363.0, 525.0, 18.0], SN0vy-1TDw, 5776683]
[paragraph, [24.0, 381.0, 525.0, 18.0], SN0vy-1TDw, 5776683]
[paragraph, [24.0, 399.0, 525.0, 18.0], SN0vy-1TDw, 5776683]
[paragraph, [24.0, 417.0, 525.0, 18.0], SN0vy-1TDw, 5776683]
[paragraph, [22.0, 440.0, 526.0, 18.0], TDXZRmprH7, 5776683]
[paragraph, [22.0, 458.0, 526.0, 18.0], TDXZRmprH7, 5776683]
[paragraph, [22.0, 476.0, 526.0, 18.0], TDXZRmprH7, 5776683]
[paragraph, [21.0, 497.0, 531.0, 18.0], X-ZmvxHqmm, 5776683]
[paragraph, [21.0, 515.0, 531.0, 18.0], X-ZmvxHqmm, 5776683]
[paragraph, [21.0, 533.0, 531.0, 18.0], X-ZmvxHqmm, 5776683]
[paragraph, [21.0, 551.0, 531.0, 18.0], X-ZmvxHqmm, 5776683]
[paragraph, [21.0, 569.0, 531.0, 18.0], X-ZmvxHqmm, 5776683]
[paragraph, [19.0, 591.0, 533.0, 18.0], Xlt2PWHRJh, 5776683]
[paragraph, [19.0, 609.0, 533.0, 18.0], Xlt2PWHRJh, 5776683]
[paragraph, [19.0, 627.0, 533.0, 18.0], Xlt2PWHRJh, 5776683]
[paragraph, [19.0, 645.0, 533.0, 18.0], Xlt2PWHRJh, 5776683]
[paragraph, [18.0, 665.0, 533.0, 18.0], BUkEMvk3E1, 5776683]
[paragraph, [18.0, 683.0, 533.0, 18.0], BUkEMvk3E1, 5776683]
[paragraph, [18.0, 701.0, 533.0, 18.0], BUkEMvk3E1, 5776683]
[paragraph, [18.0, 719.0, 533.0, 18.0], BUkEMvk3E1, 5776683]
[paragraph, [18.0, 737.0, 533.0, 18.0], BUkEMvk3E1, 5776683]
