[1650, 1275]
[paragraph, [77.0, 96.0, 267.0, 36.0], shoonya_0sS1NC2IY6NQZP, 6470160]
[paragraph, [82.0, 148.0, 849.0, 36.0], nIrJgMF5Gl, 6470160]
[paragraph, [82.0, 184.0, 849.0, 36.0], nIrJgMF5Gl, 6470160]
[paragraph, [82.0, 220.0, 849.0, 36.0], nIrJgMF5Gl, 6470160]
[paragraph, [82.0, 256.0, 849.0, 36.0], nIrJgMF5Gl, 6470160]
[paragraph, [85.0, 301.0, 846.0, 36.0], vTFUlcy2c2, 6470160]
[paragraph, [85.0, 337.0, 846.0, 36.0], vTFUlcy2c2, 6470160]
[paragraph, [82.0, 402.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 438.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 474.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 510.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 546.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 582.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 618.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [82.0, 654.0, 854.0, 36.0], vzpe-WzKsZ, 6470160]
[paragraph, [87.0, 718.0, 851.0, 36.0], RKQH22QTru, 6470160]
[paragraph, [87.0, 754.0, 851.0, 36.0], RKQH22QTru, 6470160]
[paragraph, [87.0, 790.0, 851.0, 36.0], RKQH22QTru, 6470160]
[paragraph, [87.0, 826.0, 851.0, 36.0], RKQH22QTru, 6470160]
[paragraph, [84.0, 869.0, 859.0, 36.0], -aVLurj6SH, 6470160]
[paragraph, [84.0, 905.0, 859.0, 36.0], -aVLurj6SH, 6470160]
[paragraph, [84.0, 941.0, 859.0, 36.0], -aVLurj6SH, 6470160]
[paragraph, [84.0, 977.0, 859.0, 36.0], -aVLurj6SH, 6470160]
[paragraph, [84.0, 1013.0, 859.0, 36.0], -aVLurj6SH, 6470160]
[paragraph, [82.0, 1070.0, 849.0, 36.0], 52hBhNzNY4, 6470160]
[paragraph, [82.0, 1106.0, 849.0, 36.0], 52hBhNzNY4, 6470160]
[paragraph, [82.0, 1142.0, 849.0, 36.0], 52hBhNzNY4, 6470160]
[paragraph, [82.0, 1178.0, 849.0, 36.0], 52hBhNzNY4, 6470160]
[paragraph, [82.0, 1214.0, 849.0, 36.0], 52hBhNzNY4, 6470160]
[paragraph, [81.0, 1275.0, 846.0, 36.0], UzpWrnYIa3, 6470160]
[paragraph, [81.0, 1311.0, 846.0, 36.0], UzpWrnYIa3, 6470160]
[paragraph, [77.0, 1379.0, 854.0, 36.0], 7ISRXxk1_q, 6470160]
[paragraph, [77.0, 1415.0, 854.0, 36.0], 7ISRXxk1_q, 6470160]
[folio, [141.0, 1524.0, 117.0, 36.0], tPQV82TgPe, 6470160]
