[881, 612]
[section-title, [276.0, 185.0, 176.0, 30.0], jP1FvLL1AP, 6460246]
[paragraph, [194.0, 240.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 258.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 276.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 294.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 312.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 330.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 348.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 366.0, 347.0, 18.0], shoonya_0sHI1VNACQ3AV3, 6460246]
[paragraph, [194.0, 384.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [194.0, 402.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [194.0, 420.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [194.0, 438.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [194.0, 456.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [194.0, 474.0, 342.0, 18.0], SM_DECFIAF, 6460246]
[paragraph, [196.0, 506.0, 339.0, 18.0], 0lvqVrVFtm, 6460246]
[paragraph, [196.0, 524.0, 339.0, 18.0], 0lvqVrVFtm, 6460246]
[paragraph, [241.0, 557.0, 236.0, 18.0], hSvfJ3MLZQ, 6460246]
[paragraph, [241.0, 575.0, 236.0, 18.0], hSvfJ3MLZQ, 6460246]
[paragraph, [201.0, 605.0, 337.0, 18.0], ox9p4e3eqB, 6460246]
[paragraph, [201.0, 623.0, 337.0, 18.0], ox9p4e3eqB, 6460246]
[paragraph, [201.0, 641.0, 337.0, 18.0], ox9p4e3eqB, 6460246]
[paragraph, [201.0, 659.0, 337.0, 18.0], ox9p4e3eqB, 6460246]
[paragraph, [197.0, 676.0, 340.0, 18.0], _8j7T_Q2ms, 6460246]
[paragraph, [197.0, 694.0, 340.0, 18.0], _8j7T_Q2ms, 6460246]
