[2876, 2048]
[paragraph, [187.0, 333.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 379.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 426.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 472.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 519.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 565.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 612.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 658.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 705.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 751.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 798.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 844.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 891.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 937.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 984.0, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[paragraph, [187.0, 1030.5, 827.0, 46.5], shoonya_2sPYBCQCUUBRLE, 6473684]
[figure-caption, [1523.0, 1049.0, 358.0, 46.5], shoonya_7s3M5WJBI60UR3, 6473684]
[paragraph, [186.0, 1131.0, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1177.5, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1224.0, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1270.5, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1317.0, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1363.5, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1410.0, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1456.5, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [186.0, 1503.0, 786.0, 46.5], shoonya_1s3HF2HNADR3P6, 6473684]
[paragraph, [1036.0, 1480.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1526.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1573.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1619.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1666.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1712.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1759.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1805.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1852.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1898.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1945.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 1991.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 2038.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 2084.5, 834.0, 46.5], dA9GHbfkQl, 6473684]
[paragraph, [1036.0, 2131.0, 834.0, 46.5], dA9GHbfkQl, 6473684]
[sidebar, [156.0, 1587.0, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1633.5, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1680.0, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1726.5, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1773.0, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1819.5, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1866.0, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1912.5, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 1959.0, 829.0, 46.5], qjvGfCFEd8, 6473684]
[sidebar, [156.0, 2005.5, 829.0, 46.5], qjvGfCFEd8, 6473684]
[author, [657.0, 2100.0, 355.0, 46.5], H1qpoeQtTM, 6473684]
[author, [657.0, 2146.5, 355.0, 46.5], H1qpoeQtTM, 6473684]
[paragraph, [226.0, 2271.0, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2317.5, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2364.0, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2410.5, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2457.0, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2503.5, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[paragraph, [226.0, 2550.0, 1114.0, 46.5], shoonya_6sG97UVKG76YX6, 6473684]
[author, [888.0, 2607.0, 491.0, 46.5], H2QImXO0kF, 6473684]
[figure-caption, [1528.0, 2682.0, 332.0, 46.5], shoonya_5sUY0RNCMW8AMM, 6473684]
