[540, 960]
[section-title, [49.0, 83.0, 504.0, 30.0], shoonya_2s1ANK9DWBTQST, 5715894]
[paragraph, [495.0, 186.0, 404.0, 18.0], shoonya_5sEMOII0ZMPJE5, 5715894]
[paragraph, [495.0, 204.0, 404.0, 18.0], shoonya_5sEMOII0ZMPJE5, 5715894]
[paragraph, [495.0, 222.0, 404.0, 18.0], shoonya_5sEMOII0ZMPJE5, 5715894]
[paragraph, [495.0, 240.0, 404.0, 18.0], shoonya_5sEMOII0ZMPJE5, 5715894]
[paragraph, [71.0, 191.0, 340.0, 18.0], shoonya_1s006T6QNL4XRE, 5715894]
[paragraph, [71.0, 209.0, 340.0, 18.0], shoonya_1s006T6QNL4XRE, 5715894]
[paragraph, [71.0, 227.0, 340.0, 18.0], shoonya_1s006T6QNL4XRE, 5715894]
[paragraph, [71.0, 245.0, 340.0, 18.0], shoonya_1s006T6QNL4XRE, 5715894]
[paragraph, [71.0, 263.0, 340.0, 18.0], shoonya_1s006T6QNL4XRE, 5715894]
[paragraph, [218.0, 359.0, 441.0, 18.0], shoonya_3sF6MNQV024C0U, 5715894]
[paragraph, [218.0, 377.0, 441.0, 18.0], shoonya_3sF6MNQV024C0U, 5715894]
[paragraph, [218.0, 395.0, 441.0, 18.0], shoonya_3sF6MNQV024C0U, 5715894]
[paragraph, [218.0, 413.0, 441.0, 18.0], shoonya_3sF6MNQV024C0U, 5715894]
[paragraph, [218.0, 431.0, 441.0, 18.0], shoonya_3sF6MNQV024C0U, 5715894]
[folio, [862.0, 466.0, 96.0, 18.0], shoonya_0s58HBPGZTX2T0, 5715894]
[folio, [862.0, 484.0, 96.0, 18.0], shoonya_0s58HBPGZTX2T0, 5715894]
[folio, [862.0, 502.0, 96.0, 18.0], shoonya_0s58HBPGZTX2T0, 5715894]
[folio, [4.0, 481.0, 113.0, 18.0], fY_t5J8DMf, 5715894]
[folio, [4.0, 499.0, 113.0, 18.0], fY_t5J8DMf, 5715894]
[folio, [4.0, 517.0, 113.0, 18.0], fY_t5J8DMf, 5715894]
