[792, 612]
[chapter-title, [179.0, 301.0, 257.0, 30.0], shoonya_4sXW2VBKKWOMDH, 5760453]
[chapter-title, [179.0, 331.0, 257.0, 30.0], shoonya_4sXW2VBKKWOMDH, 5760453]
[paragraph, [64.0, 453.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 471.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 489.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 507.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 525.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 543.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 561.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 579.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 597.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 615.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 633.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 651.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 669.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
[paragraph, [64.0, 687.0, 482.0, 18.0], shoonya_3sF6GN3CYEAATU, 5760453]
