[1518, 1004]
[headline, [363.0, 94.0, 146.0, 37.5], kEFABbDdfK, 6472946]
[paragraph, [48.0, 114.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 150.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 186.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 222.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 258.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 294.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 330.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 366.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 402.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 438.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 474.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 510.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 546.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 582.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 618.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 654.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 690.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 726.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 762.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 798.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 834.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 870.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 906.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 942.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 978.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1014.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1050.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1086.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1122.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1158.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1194.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1230.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1266.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1302.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1338.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [48.0, 1374.0, 297.0, 36.0], fn7hZ8dtQS, 6472946]
[paragraph, [566.0, 171.0, 307.0, 36.0], 5MqbOLx8cf, 6472946]
[paragraph, [566.0, 207.0, 307.0, 36.0], 5MqbOLx8cf, 6472946]
[paragraph, [566.0, 243.0, 307.0, 36.0], 5MqbOLx8cf, 6472946]
[paragraph, [567.0, 304.0, 307.0, 36.0], umnMNRZz9U, 6472946]
[paragraph, [567.0, 340.0, 307.0, 36.0], umnMNRZz9U, 6472946]
[paragraph, [567.0, 376.0, 307.0, 36.0], umnMNRZz9U, 6472946]
[paragraph, [565.0, 429.0, 295.0, 36.0], q8u1YlYnL_, 6472946]
[paragraph, [565.0, 465.0, 295.0, 36.0], q8u1YlYnL_, 6472946]
[paragraph, [565.0, 501.0, 295.0, 36.0], q8u1YlYnL_, 6472946]
[paragraph, [565.0, 557.0, 324.0, 36.0], rP-XKldky1, 6472946]
