[1606, 1056]
[folio, [447.0, 104.0, 166.0, 36.0], shoonya_2s2Y7QJ5Y4TDDY, 5684338]
[folio, [106.0, 105.0, 229.0, 36.0], OdTmshlGg0, 5684338]
[paragraph, [96.0, 157.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 193.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 229.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 265.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 301.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 337.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 373.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 409.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 445.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 481.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 517.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 553.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 589.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 625.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 661.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 697.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 733.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 769.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 805.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 841.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 877.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 913.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 949.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 985.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 1021.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 1057.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [96.0, 1093.0, 858.0, 36.0], shoonya_1s8EUCM7TOYFOL, 5684338]
[paragraph, [99.0, 1147.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1183.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1219.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1255.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1291.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1327.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1363.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1399.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1435.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
[paragraph, [99.0, 1471.0, 857.0, 36.0], shoonya_0sFNGJHJDBLZHV, 5684338]
