[1350, 900]
[folio, [530.0, 185.0, 183.0, 18.0], NGHbxz5In0, 5760431]
[paragraph, [263.0, 232.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 250.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 268.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 286.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 304.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 322.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 340.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 358.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [263.0, 376.0, 480.0, 18.0], shoonya_0sWDUTG2ZUUTP5, 5760431]
[paragraph, [182.0, 423.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 441.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 459.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 477.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 495.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 513.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 531.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 549.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 567.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [182.0, 585.0, 555.0, 18.0], Ew9Bq0x8vX, 5760431]
[paragraph, [177.0, 605.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 623.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 641.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 659.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 677.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 695.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 713.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 731.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 749.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 767.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 785.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 803.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 821.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 839.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 857.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 875.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 893.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 911.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 929.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 947.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 965.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 983.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 1001.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [177.0, 1019.0, 558.0, 18.0], shoonya_1sKGLH1RB49HNG, 5760431]
[paragraph, [178.0, 1056.0, 554.0, 18.0], shoonya_3sXUK0Q9VCNKS9, 5760431]
[paragraph, [178.0, 1074.0, 554.0, 18.0], shoonya_3sXUK0Q9VCNKS9, 5760431]
[paragraph, [178.0, 1092.0, 554.0, 18.0], shoonya_3sXUK0Q9VCNKS9, 5760431]
[paragraph, [178.0, 1110.0, 554.0, 18.0], shoonya_3sXUK0Q9VCNKS9, 5760431]
[paragraph, [178.0, 1128.0, 554.0, 18.0], shoonya_3sXUK0Q9VCNKS9, 5760431]
