[2339, 1653]
[paragraph, [247.0, 246.0, 1152.0, 36.0], shoonya_3s00UCQ9QR7RG1, 5687093]
[paragraph, [247.0, 282.0, 1152.0, 36.0], shoonya_3s00UCQ9QR7RG1, 5687093]
[paragraph, [247.0, 318.0, 1152.0, 36.0], shoonya_3s00UCQ9QR7RG1, 5687093]
[paragraph, [242.0, 383.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 419.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 455.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 491.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 527.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 563.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 599.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 635.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [242.0, 671.0, 1160.0, 36.0], shoonya_2sWGH2E7P1D8M3, 5687093]
[paragraph, [248.0, 732.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 768.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 804.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 840.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 876.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 912.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 948.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 984.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1020.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1056.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1092.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1128.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1164.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1200.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1236.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1272.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1308.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [248.0, 1344.0, 1153.0, 36.0], shoonya_0sMYJ7SYQA5RC5, 5687093]
[paragraph, [247.0, 1425.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1461.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1497.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1533.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1569.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1605.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1641.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1677.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1713.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1749.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1785.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1821.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1857.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1893.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1929.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
[paragraph, [247.0, 1965.0, 1154.0, 36.0], shoonya_1sUV665OY9XU69, 5687093]
