[1787, 1218]
[author, [833.0, 262.0, 280.0, 36.0], 3kllgTLRQ9, 5652266]
[section-title, [96.0, 312.0, 185.0, 49.5], MlowiOb07Z, 5652266]
[paragraph, [195.0, 457.0, 522.0, 36.0], jTVJebEMQU, 5652266]
[paragraph, [195.0, 493.0, 522.0, 36.0], jTVJebEMQU, 5652266]
[paragraph, [195.0, 529.0, 522.0, 36.0], jTVJebEMQU, 5652266]
[paragraph, [195.0, 565.0, 522.0, 36.0], jTVJebEMQU, 5652266]
[paragraph, [195.0, 601.0, 522.0, 36.0], jTVJebEMQU, 5652266]
[paragraph, [288.0, 652.0, 521.0, 36.0], n-vG92hw0E, 5652266]
[paragraph, [288.0, 688.0, 521.0, 36.0], n-vG92hw0E, 5652266]
[paragraph, [288.0, 724.0, 521.0, 36.0], n-vG92hw0E, 5652266]
[paragraph, [288.0, 760.0, 521.0, 36.0], n-vG92hw0E, 5652266]
[paragraph, [288.0, 796.0, 521.0, 36.0], n-vG92hw0E, 5652266]
[paragraph, [193.0, 852.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 888.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 924.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 960.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 996.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 1032.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 1068.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [193.0, 1104.0, 574.0, 36.0], -G1_LumvBA, 5652266]
[paragraph, [300.0, 1148.0, 547.0, 36.0], 14ZfViCmUz, 5652266]
[paragraph, [300.0, 1184.0, 547.0, 36.0], 14ZfViCmUz, 5652266]
[paragraph, [300.0, 1220.0, 547.0, 36.0], 14ZfViCmUz, 5652266]
[paragraph, [300.0, 1256.0, 547.0, 36.0], 14ZfViCmUz, 5652266]
[paragraph, [300.0, 1292.0, 547.0, 36.0], 14ZfViCmUz, 5652266]
[footnote, [445.0, 1646.0, 239.0, 36.0], NnHwTt7jFG, 5652266]
