[1650, 1275]
[section-title, [565.0, 150.0, 148.0, 49.5], shoonya_0sR76Q3098KXTH, 5706696]
[paragraph, [133.0, 382.0, 896.0, 36.0], -Qu2nQRPUo, 5706696]
[paragraph, [133.0, 418.0, 896.0, 36.0], -Qu2nQRPUo, 5706696]
[ordered-list, [127.0, 485.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 521.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 557.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 593.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 629.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 665.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 701.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 737.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 773.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 809.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 845.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 881.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 917.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 953.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 989.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1025.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1061.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1097.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1133.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1169.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1205.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1241.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1277.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1313.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[ordered-list, [127.0, 1349.0, 958.0, 36.0], iZ48P-H4Tn, 5706696]
[sub-ordered-list, [246.0, 535.0, 837.0, 36.0], rBlfg670RC, 5706696]
[sub-ordered-list, [246.0, 571.0, 837.0, 36.0], rBlfg670RC, 5706696]
[sub-ordered-list, [135.0, 624.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 660.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 696.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 732.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 768.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 804.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 840.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 876.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [135.0, 912.0, 838.0, 36.0], paGou60tU1, 5706696]
[sub-ordered-list, [143.0, 1003.0, 705.0, 36.0], t3jQqLucfM, 5706696]
[sub-ordered-list, [143.0, 1039.0, 705.0, 36.0], t3jQqLucfM, 5706696]
[sub-ordered-list, [135.0, 1127.0, 756.0, 36.0], zoXkvde5SQ, 5706696]
[sub-ordered-list, [135.0, 1163.0, 756.0, 36.0], zoXkvde5SQ, 5706696]
[sub-ordered-list, [138.0, 1255.0, 826.0, 36.0], e1AcZAcUl-, 5706696]
[sub-ordered-list, [138.0, 1291.0, 826.0, 36.0], e1AcZAcUl-, 5706696]
[sub-ordered-list, [138.0, 1327.0, 826.0, 36.0], e1AcZAcUl-, 5706696]
[subsub-ordered-list, [334.0, 1339.0, 622.0, 18.0], vjiyGgesP5, 5706696]
[subsub-ordered-list, [334.0, 1357.0, 622.0, 18.0], vjiyGgesP5, 5706696]
[folio, [335.0, 1446.0, 595.0, 36.0], A0WozGodDC, 5706696]
