[842, 595]
[contact-info, [315.0, 68.0, 128.0, 18.0], ELWv8wcDW_, 5742634]
[paragraph, [94.0, 97.0, 345.0, 18.0], km7H7O2ksW, 5742634]
[paragraph, [94.0, 115.0, 345.0, 18.0], km7H7O2ksW, 5742634]
[paragraph, [94.0, 133.0, 345.0, 18.0], km7H7O2ksW, 5742634]
[paragraph, [94.0, 151.0, 345.0, 18.0], km7H7O2ksW, 5742634]
[paragraph, [218.0, 216.0, 158.0, 18.0], shoonya_0s7955NES9CMPH, 5742634]
[paragraph, [218.0, 234.0, 158.0, 18.0], shoonya_0s7955NES9CMPH, 5742634]
[paragraph, [218.0, 252.0, 158.0, 18.0], shoonya_0s7955NES9CMPH, 5742634]
[paragraph, [382.0, 216.0, 159.0, 18.0], shoonya_6sDB44ICLHFAE7, 5742634]
[paragraph, [382.0, 246.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 264.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 282.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 300.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 318.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 336.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [382.0, 354.0, 162.0, 18.0], shoonya_8sN9AKC9D4LCNI, 5742634]
[paragraph, [216.0, 274.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 292.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 310.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 328.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 346.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 364.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 382.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 400.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 418.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 436.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 454.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 472.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [216.0, 490.0, 160.0, 18.0], shoonya_2sTRRTKSK99L8G, 5742634]
[paragraph, [381.0, 387.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [381.0, 405.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [381.0, 423.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [381.0, 441.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [381.0, 459.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [381.0, 477.0, 162.0, 18.0], shoonya_14s0DJM51MH0VS, 5742634]
[paragraph, [383.0, 498.0, 158.0, 18.0], shoonya_4sQM0M4SRSFF5V, 5742634]
[paragraph, [383.0, 516.0, 158.0, 18.0], shoonya_4sQM0M4SRSFF5V, 5742634]
[paragraph, [383.0, 534.0, 158.0, 18.0], shoonya_4sQM0M4SRSFF5V, 5742634]
[paragraph, [383.0, 552.0, 158.0, 18.0], shoonya_4sQM0M4SRSFF5V, 5742634]
[author, [64.0, 515.0, 134.0, 18.0], shoonya_12sGOOTGT6CYQ3, 5742634]
[paragraph, [219.0, 526.0, 159.0, 18.0], shoonya_3sCL5GLMXTYWEN, 5742634]
[paragraph, [219.0, 544.0, 159.0, 18.0], shoonya_3sCL5GLMXTYWEN, 5742634]
[contact-info, [84.0, 537.0, 98.0, 18.0], 2UfgeMtupp, 5742634]
[paragraph, [52.0, 565.0, 160.0, 18.0], shoonya_10s6S0763E2IUA, 5742634]
[paragraph, [52.0, 583.0, 160.0, 18.0], shoonya_10s6S0763E2IUA, 5742634]
