[720, 504]
[paragraph, [47.0, 104.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 122.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 140.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 158.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 176.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 194.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 212.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 230.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 248.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 266.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 284.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 302.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 320.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 338.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [47.0, 356.0, 198.0, 18.0], shoonya_1s43UNVBQRHMGT, 5650906]
[paragraph, [257.0, 105.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 123.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 141.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 159.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 177.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 195.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 213.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 231.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [257.0, 249.0, 198.0, 18.0], shoonya_2sDPRV0HRKHGCM, 5650906]
[paragraph, [259.0, 271.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 289.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 307.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 325.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 343.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 361.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 379.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [259.0, 397.0, 196.0, 18.0], shoonya_3sCET17QLOMGF3, 5650906]
[paragraph, [48.0, 428.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 446.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 464.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 482.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 500.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 518.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 536.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 554.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 572.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 590.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [48.0, 608.0, 196.0, 18.0], shoonya_0sV64XR0DBTF3L, 5650906]
[paragraph, [258.0, 433.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 451.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 469.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 487.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 505.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 523.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 541.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 559.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 577.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
[paragraph, [258.0, 595.0, 197.0, 18.0], shoonya_4sPXD73R0VZAK9, 5650906]
