[1388, 886]
[folio, [642.0, 72.0, 209.0, 18.0], edgwRZAD0D, 5742549]
[folio, [356.0, 75.0, 155.0, 18.0], fyVWsjoWgv, 5742549]
[folio, [356.0, 93.0, 155.0, 18.0], fyVWsjoWgv, 5742549]
[headline, [367.0, 133.0, 200.0, 25.5], 1HhYDE8bEF, 5742549]
[sub-headline, [374.0, 214.0, 181.0, 25.5], nmHALHQ7YE, 5742549]
[paragraph, [497.0, 255.0, 270.0, 18.0], 3oG4wrmDye, 5742549]
[paragraph, [497.0, 273.0, 270.0, 18.0], 3oG4wrmDye, 5742549]
[paragraph, [497.0, 291.0, 270.0, 18.0], 3oG4wrmDye, 5742549]
[paragraph, [75.0, 294.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 312.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 330.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 348.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 366.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 384.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 402.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 420.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 438.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 456.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 474.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 492.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [75.0, 510.0, 287.0, 18.0], GUwIP4gchD, 5742549]
[paragraph, [492.0, 361.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 379.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 397.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 415.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 433.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 451.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 469.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 487.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 505.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 523.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 541.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 559.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [492.0, 577.0, 284.0, 18.0], y38a642hcm, 5742549]
[paragraph, [71.0, 580.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 598.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 616.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 634.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 652.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 670.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 688.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 706.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 724.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
[paragraph, [71.0, 742.0, 330.0, 18.0], 5-6k7ei5gs, 5742549]
