[3509, 2480]
[paragraph, [343.0, 396.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 448.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 501.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 553.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 606.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 658.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 711.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 763.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 816.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 868.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 921.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 973.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1026.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1078.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1131.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1183.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1236.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1288.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1341.0, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1393.5, 1801.0, 52.5], TMVIPiPPsf, 5724100]
[paragraph, [343.0, 1508.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1560.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1613.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1665.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1718.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1770.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1823.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1875.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1928.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 1980.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2033.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2085.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2138.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2190.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2243.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2295.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2348.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2400.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2453.0, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [343.0, 2505.5, 1805.0, 52.5], yIDvi6evhj, 5724100]
[paragraph, [340.0, 2620.0, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2672.5, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2725.0, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2777.5, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2830.0, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2882.5, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2935.0, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 2987.5, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 3040.0, 1811.0, 52.5], DrjOwfnAu-, 5724100]
[paragraph, [340.0, 3092.5, 1811.0, 52.5], DrjOwfnAu-, 5724100]
