[842, 595]
[folio, [257.0, 86.0, 75.0, 18.0], NxlWU-GJll, 5773344]
[folio, [257.0, 104.0, 75.0, 18.0], NxlWU-GJll, 5773344]
[placeholder-text, [301.0, 136.0, 232.0, 18.0], shoonya_7sVOV0A56KKWCM, 5773344]
[placeholder-text, [57.0, 138.0, 237.0, 18.0], shoonya_0s37J1I5P25AZ0, 5773344]
[placeholder-text, [68.0, 158.0, 224.0, 18.0], shoonya_5sZGQ1D394RVNX, 5773344]
[placeholder-text, [296.0, 165.0, 240.0, 18.0], wxAmLluwqY, 5773344]
[placeholder-text, [55.0, 170.0, 235.0, 18.0], shoonya_10sN8184ETW9A1, 5773344]
[placeholder-text, [298.0, 195.0, 233.0, 18.0], shoonya_4s4F864E4OITGG, 5773344]
[placeholder-text, [298.0, 213.0, 233.0, 18.0], shoonya_4s4F864E4OITGG, 5773344]
[sidebar, [53.0, 232.0, 94.0, 18.0], shoonya_9s04O4NXHL0VQR, 5773344]
[sidebar, [409.0, 234.0, 135.0, 18.0], shoonya_6sMUEDHJLIJIXG, 5773344]
[sidebar, [336.0, 250.0, 202.0, 18.0], SyFS2fElEz, 5773344]
[sidebar, [54.0, 251.0, 177.0, 18.0], shoonya_1s9Y3WXFU3WK33, 5773344]
[ordered-list, [294.0, 279.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 297.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 315.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 333.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 351.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 369.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 387.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 405.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 423.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 441.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 459.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 477.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 495.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 513.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 531.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 549.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 567.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 585.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 603.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 621.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 639.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 657.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 675.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 693.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [294.0, 711.0, 255.0, 18.0], M8m77DHbbx, 5773344]
[ordered-list, [58.0, 283.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 301.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 319.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 337.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 355.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 373.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 391.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 409.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 427.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 445.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 463.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 481.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 499.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 517.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 535.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 553.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 571.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 589.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 607.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 625.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 643.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 661.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 679.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 697.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[ordered-list, [58.0, 715.0, 235.0, 18.0], Dnz6TTVa1x, 5773344]
[sub-ordered-list, [312.0, 336.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 354.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 372.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 390.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 408.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 426.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 444.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [312.0, 462.0, 229.0, 18.0], shoonya_8sU9E48TCHQ70K, 5773344]
[sub-ordered-list, [74.0, 351.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 369.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 387.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 405.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 423.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 441.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 459.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[sub-ordered-list, [74.0, 477.0, 220.0, 18.0], xxMK5IiPv4, 5773344]
[folio, [489.0, 740.0, 47.0, 18.0], RMpB2aTvZF, 5773344]
[folio, [64.0, 741.0, 67.0, 18.0], ie0hi1seHf, 5773344]
