[2339, 1653]
[paragraph, [325.0, 162.0, 1137.0, 36.0], shoonya_1sVSQJ2IXKJKOT, 5734032]
[paragraph, [325.0, 198.0, 1137.0, 36.0], shoonya_1sVSQJ2IXKJKOT, 5734032]
[paragraph, [325.0, 234.0, 1137.0, 36.0], shoonya_1sVSQJ2IXKJKOT, 5734032]
[reference, [325.0, 293.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 329.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 365.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 401.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 437.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 473.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 509.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 545.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 581.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 617.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 653.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 689.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 725.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 761.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 797.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 833.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 869.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 905.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 941.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 977.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1013.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1049.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1085.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1121.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1157.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1193.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1229.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1265.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
[reference, [325.0, 1301.0, 1162.0, 36.0], shoonya_0sKWOQ65F8DIDE, 5734032]
