[1387, 987]
[paragraph, [25.0, 89.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 107.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 125.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 143.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 161.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 179.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [25.0, 197.0, 935.0, 18.0], shoonya_0sDP607LTY77FH, 5652538]
[paragraph, [67.0, 212.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 230.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 248.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 266.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 284.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 302.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 320.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 338.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 356.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [67.0, 374.0, 883.0, 18.0], ThYGY84Ayg, 5652538]
[paragraph, [71.0, 396.0, 781.0, 18.0], EP8_hRQ9nF, 5652538]
[paragraph, [71.0, 414.0, 781.0, 18.0], EP8_hRQ9nF, 5652538]
[paragraph, [71.0, 432.0, 781.0, 18.0], EP8_hRQ9nF, 5652538]
[paragraph, [38.0, 464.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 482.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 500.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 518.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 536.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 554.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 572.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 590.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 608.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 626.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 644.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 662.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [38.0, 680.0, 858.0, 18.0], F4xud7zQ45, 5652538]
[paragraph, [67.0, 703.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [67.0, 721.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [67.0, 739.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [67.0, 757.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [67.0, 775.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [67.0, 793.0, 856.0, 18.0], 4v9qH_svqL, 5652538]
[paragraph, [64.0, 828.0, 575.0, 18.0], vTf30WRIlr, 5652538]
[paragraph, [64.0, 846.0, 575.0, 18.0], vTf30WRIlr, 5652538]
[paragraph, [64.0, 864.0, 575.0, 18.0], vTf30WRIlr, 5652538]
[paragraph, [64.0, 882.0, 575.0, 18.0], vTf30WRIlr, 5652538]
[paragraph, [50.0, 900.0, 476.0, 18.0], 0vJVpAS9QD, 5652538]
[paragraph, [50.0, 918.0, 476.0, 18.0], 0vJVpAS9QD, 5652538]
[paragraph, [50.0, 936.0, 476.0, 18.0], 0vJVpAS9QD, 5652538]
[paragraph, [71.0, 959.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 977.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 995.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1013.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1031.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1049.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1067.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1085.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1103.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1121.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1139.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1157.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1175.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1193.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1211.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1229.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
[paragraph, [71.0, 1247.0, 869.0, 18.0], G-V6UKjWC9, 5652538]
