[1240, 863]
[chapter-title, [286.0, 37.0, 198.0, 30.0], shoonya_4s5UYLFTWOWYAQ, 5776292]
[paragraph, [91.0, 77.0, 335.0, 18.0], shoonya_6sER88O0W1ENP5, 5776292]
[paragraph, [73.0, 98.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 116.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 134.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 152.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 170.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 188.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 206.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 224.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 242.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 260.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 278.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 296.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 314.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 332.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 350.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 368.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 386.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 404.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 422.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 440.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 458.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [73.0, 476.0, 626.0, 18.0], shoonya_0sESJ0S2FB4TQ4, 5776292]
[paragraph, [75.0, 504.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
[paragraph, [75.0, 522.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
[paragraph, [75.0, 540.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
[paragraph, [75.0, 558.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
[paragraph, [75.0, 576.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
[paragraph, [75.0, 594.0, 628.0, 18.0], shoonya_1sC8DLZO7Y31AH, 5776292]
