[3300, 2550]
[ordered-list, [328.0, 390.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 442.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 495.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 547.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 600.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 652.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 705.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 757.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 810.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 862.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 915.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 967.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1020.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1072.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1125.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1177.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1230.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1282.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1335.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1387.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1440.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1492.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1545.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1597.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1650.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1702.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1755.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1807.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1860.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1912.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 1965.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 2017.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 2070.0, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[ordered-list, [328.0, 2122.5, 1960.0, 52.5], shoonya_2s6LIV5LI279KO, 5720083]
[paragraph, [341.0, 2192.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2244.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2297.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2349.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2402.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2454.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2507.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2559.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2612.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2664.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2717.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2769.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2822.0, 1940.0, 52.5], xsolZwm5ut, 5720083]
[paragraph, [341.0, 2874.5, 1940.0, 52.5], xsolZwm5ut, 5720083]
