[1267, 753]
[folio, [300.0, 68.0, 161.0, 18.0], qwMcSrTjFr, 5699831]
[folio, [300.0, 86.0, 161.0, 18.0], qwMcSrTjFr, 5699831]
[paragraph, [76.0, 167.0, 597.0, 18.0], shoonya_1s21E1MVHWBYIO, 5699831]
[paragraph, [76.0, 185.0, 597.0, 18.0], shoonya_1s21E1MVHWBYIO, 5699831]
[paragraph, [76.0, 203.0, 597.0, 18.0], shoonya_1s21E1MVHWBYIO, 5699831]
[paragraph, [76.0, 221.0, 597.0, 18.0], shoonya_1s21E1MVHWBYIO, 5699831]
[paragraph, [76.0, 239.0, 597.0, 18.0], shoonya_1s21E1MVHWBYIO, 5699831]
[paragraph, [78.0, 274.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 292.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 310.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 328.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 346.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 364.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 382.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 400.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 418.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 436.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 454.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 472.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 490.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 508.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 526.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 544.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 562.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 580.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 598.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 616.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 634.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [78.0, 652.0, 595.0, 18.0], oOzW89h4RT, 5699831]
[paragraph, [76.0, 678.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 696.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 714.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 732.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 750.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 768.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 786.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 804.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 822.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 840.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 858.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 876.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 894.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 912.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 930.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 948.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 966.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 984.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1002.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1020.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1038.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1056.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1074.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1092.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1110.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1128.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1146.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
[paragraph, [76.0, 1164.0, 598.0, 18.0], shoonya_0s9PF62UN36JIZ, 5699831]
