[1162, 749]
[folio, [328.0, 77.0, 86.0, 18.0], shoonya_3sKHTQ41YNELZC, 5700220]
[paragraph, [80.0, 123.0, 589.0, 18.0], shoonya_2sD7JYYTTDVX0V, 5700220]
[paragraph, [80.0, 141.0, 589.0, 18.0], shoonya_2sD7JYYTTDVX0V, 5700220]
[paragraph, [80.0, 159.0, 589.0, 18.0], shoonya_2sD7JYYTTDVX0V, 5700220]
[paragraph, [79.0, 192.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 210.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 228.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 246.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 264.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 282.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 300.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 318.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 336.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 354.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 372.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 390.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 408.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 426.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 444.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 462.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 480.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 498.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 516.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 534.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 552.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 570.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 588.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 606.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 624.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 642.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 660.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 678.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 696.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 714.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 732.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [79.0, 750.0, 592.0, 18.0], shoonya_0sVER8L1EFFMEL, 5700220]
[paragraph, [78.0, 779.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 797.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 815.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 833.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 851.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 869.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 887.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 905.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 923.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 941.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 959.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 977.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 995.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 1013.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 1031.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 1049.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
[paragraph, [78.0, 1067.0, 592.0, 18.0], shoonya_1sKFFIM0P81NP9, 5700220]
