[842, 596]
[paragraph, [117.0, 56.0, 242.0, 18.0], RX6p-Otnxd, 5658268]
[ordered-list, [73.0, 72.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 90.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 108.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 126.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 144.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 162.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 180.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 198.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 216.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[ordered-list, [73.0, 234.0, 424.0, 18.0], _o58AOzPK5, 5658268]
[sub-ordered-list, [117.0, 76.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 94.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 112.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 130.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 148.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 166.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 184.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 202.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[sub-ordered-list, [117.0, 220.0, 372.0, 18.0], CJWyIZsfTU, 5658268]
[subsub-ordered-list, [154.0, 131.0, 110.0, 18.0], zxesAOHoum, 5658268]
[subsub-ordered-list, [154.0, 149.0, 110.0, 18.0], zxesAOHoum, 5658268]
[subsub-ordered-list, [154.0, 167.0, 110.0, 18.0], zxesAOHoum, 5658268]
[subsub-ordered-list, [154.0, 185.0, 110.0, 18.0], zxesAOHoum, 5658268]
[subsub-ordered-list, [154.0, 203.0, 110.0, 18.0], zxesAOHoum, 5658268]
[subsub-ordered-list, [154.0, 221.0, 110.0, 18.0], zxesAOHoum, 5658268]
[ordered-list, [64.0, 237.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 255.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 273.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 291.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 309.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 327.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 345.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 363.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 381.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 399.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 417.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 435.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 453.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 471.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 489.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 507.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 525.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 543.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 561.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 579.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 597.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 615.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 633.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 651.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 669.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 687.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 705.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[ordered-list, [64.0, 723.0, 483.0, 18.0], 5xFdEceotu, 5658268]
[sub-ordered-list, [74.0, 243.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 261.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 279.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 297.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 315.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 333.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 351.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 369.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 387.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 405.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 423.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 441.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 459.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 477.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[sub-ordered-list, [74.0, 495.0, 460.0, 18.0], Cc-l96R8Zf, 5658268]
[footnote, [82.0, 776.0, 462.0, 18.0], 9ibA5dFln4, 5658268]
[footnote, [82.0, 794.0, 462.0, 18.0], 9ibA5dFln4, 5658268]
