[1754, 1241]
[headline, [389.0, 249.0, 468.0, 37.5], shoonya_5sV5ESPYQ5NYYH, 6471980]
[headline, [389.0, 286.5, 468.0, 37.5], shoonya_5sV5ESPYQ5NYYH, 6471980]
[paragraph, [622.0, 365.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 401.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 437.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 473.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 509.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 545.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 581.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [622.0, 617.0, 463.0, 36.0], shoonya_8sUT4J3W42S1MC, 6471980]
[paragraph, [167.0, 366.0, 446.0, 36.0], shoonya_1sW8UHCHHHCH2G, 6471980]
[paragraph, [167.0, 402.0, 446.0, 36.0], shoonya_1sW8UHCHHHCH2G, 6471980]
[paragraph, [167.0, 438.0, 446.0, 36.0], shoonya_1sW8UHCHHHCH2G, 6471980]
[paragraph, [167.0, 474.0, 446.0, 36.0], shoonya_1sW8UHCHHHCH2G, 6471980]
[paragraph, [167.0, 510.0, 446.0, 36.0], shoonya_1sW8UHCHHHCH2G, 6471980]
[paragraph, [170.0, 581.0, 445.0, 36.0], shoonya_0sELUQL4P2BHGN, 6471980]
[paragraph, [170.0, 617.0, 445.0, 36.0], shoonya_0sELUQL4P2BHGN, 6471980]
[paragraph, [169.0, 1283.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [169.0, 1319.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [169.0, 1355.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [169.0, 1391.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [169.0, 1427.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [169.0, 1463.0, 449.0, 36.0], shoonya_3sQ1E1INS4SUJ5, 6471980]
[paragraph, [623.0, 1290.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[paragraph, [623.0, 1326.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[paragraph, [623.0, 1362.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[paragraph, [623.0, 1398.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[paragraph, [623.0, 1434.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[paragraph, [623.0, 1470.0, 451.0, 36.0], shoonya_9sFA7SRTFH7P88, 6471980]
[folio, [217.0, 1521.0, 45.0, 36.0], rdjgnkmnih, 6471980]
