[2339, 1653]
[folio, [196.0, 360.0, 140.0, 36.0], _Ww3aYPRzh, 5735303]
[folio, [1142.0, 362.0, 312.0, 36.0], hknfnyzxd9, 5735303]
[paragraph, [204.0, 413.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 449.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 485.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 521.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 557.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 593.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 629.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 665.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 701.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 737.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 773.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 809.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 845.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 881.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [204.0, 917.0, 613.0, 36.0], shoonya_5sK7P2Y54PN8OJ, 5735303]
[paragraph, [836.0, 418.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 454.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 490.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 526.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 562.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 598.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 634.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 670.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 706.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 742.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 778.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 814.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 850.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 886.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 922.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 958.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 994.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 1030.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[paragraph, [836.0, 1066.0, 611.0, 36.0], shoonya_1s2B4JAMPYQCTT, 5735303]
[sidebar, [1483.0, 535.0, 157.0, 36.0], TIFN5U7hvQ, 5735303]
[sidebar, [1483.0, 571.0, 157.0, 36.0], TIFN5U7hvQ, 5735303]
[paragraph, [203.0, 980.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1016.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1052.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1088.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1124.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1160.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1196.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1232.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1268.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
[paragraph, [203.0, 1304.0, 612.0, 36.0], shoonya_3sVFX2IY5SG7XU, 5735303]
