[1050, 693]
[folio, [76.0, 78.0, 85.0, 18.0], shoonya_0s3DI70UAK4175, 5701540]
[folio, [76.0, 96.0, 85.0, 18.0], shoonya_0s3DI70UAK4175, 5701540]
[paragraph, [78.0, 130.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 148.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 166.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 184.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 202.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 220.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 238.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 256.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 274.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 292.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 310.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [78.0, 328.0, 542.0, 18.0], shoonya_1sWW49TKG9PH1V, 5701540]
[paragraph, [69.0, 349.0, 551.0, 18.0], 35mjjreI9F, 5701540]
[paragraph, [69.0, 367.0, 551.0, 18.0], 35mjjreI9F, 5701540]
[paragraph, [69.0, 385.0, 551.0, 18.0], 35mjjreI9F, 5701540]
[paragraph, [69.0, 403.0, 551.0, 18.0], 35mjjreI9F, 5701540]
[paragraph, [69.0, 421.0, 551.0, 18.0], 35mjjreI9F, 5701540]
[paragraph, [76.0, 459.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 477.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 495.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 513.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 531.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 549.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 567.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 585.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 603.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 621.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [76.0, 639.0, 531.0, 18.0], btVtqDsNR7, 5701540]
[paragraph, [85.0, 670.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 688.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 706.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 724.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 742.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 760.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 778.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 796.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 814.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 832.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 850.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 868.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 886.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 904.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 922.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 940.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
[paragraph, [85.0, 958.0, 534.0, 18.0], DBU4mRd2Wx, 5701540]
