[1719, 1325]
[folio, [152.0, 199.0, 822.0, 36.0], Ygu8VpJvKo, 5717979]
[folio, [152.0, 235.0, 822.0, 36.0], Ygu8VpJvKo, 5717979]
[author, [293.0, 287.0, 468.0, 36.0], 7aDTKIHW6o, 5717979]
[ordered-list, [166.0, 368.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 404.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 440.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 476.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 512.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 548.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 584.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 620.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 656.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 692.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 728.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 764.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 800.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 836.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 872.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 908.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 944.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 980.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1016.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1052.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1088.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1124.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1160.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1196.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1232.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1268.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[ordered-list, [166.0, 1304.0, 708.0, 36.0], shoonya_0sV4OZEHX2V61I, 5717979]
[sub-ordered-list, [527.0, 389.0, 242.0, 36.0], 9cyEByotSN, 5717979]
[sub-ordered-list, [527.0, 425.0, 242.0, 36.0], 9cyEByotSN, 5717979]
[sub-ordered-list, [520.0, 493.0, 226.0, 36.0], Slm6OAVUvc, 5717979]
[sub-ordered-list, [520.0, 529.0, 226.0, 36.0], Slm6OAVUvc, 5717979]
[sub-ordered-list, [520.0, 565.0, 226.0, 36.0], Slm6OAVUvc, 5717979]
[sub-ordered-list, [514.0, 608.0, 244.0, 36.0], wAnHVabte9, 5717979]
[sub-ordered-list, [514.0, 644.0, 244.0, 36.0], wAnHVabte9, 5717979]
[sub-ordered-list, [514.0, 680.0, 244.0, 36.0], wAnHVabte9, 5717979]
[sub-ordered-list, [505.0, 726.0, 350.0, 36.0], mAkm0nC3fD, 5717979]
[sub-ordered-list, [505.0, 762.0, 350.0, 36.0], mAkm0nC3fD, 5717979]
[sub-ordered-list, [505.0, 798.0, 350.0, 36.0], mAkm0nC3fD, 5717979]
[sub-ordered-list, [505.0, 855.0, 240.0, 36.0], GXEQb6N_qd, 5717979]
[sub-ordered-list, [505.0, 891.0, 240.0, 36.0], GXEQb6N_qd, 5717979]
[sub-ordered-list, [505.0, 927.0, 240.0, 36.0], GXEQb6N_qd, 5717979]
[sub-ordered-list, [500.0, 986.0, 244.0, 36.0], DTmyEc8Vbo, 5717979]
[sub-ordered-list, [500.0, 1022.0, 244.0, 36.0], DTmyEc8Vbo, 5717979]
[sub-ordered-list, [490.0, 1140.0, 327.0, 36.0], WF1tdYAZk5, 5717979]
[sub-ordered-list, [490.0, 1176.0, 327.0, 36.0], WF1tdYAZk5, 5717979]
[sub-ordered-list, [490.0, 1212.0, 327.0, 36.0], WF1tdYAZk5, 5717979]
[sub-ordered-list, [490.0, 1248.0, 327.0, 36.0], WF1tdYAZk5, 5717979]
[sub-ordered-list, [490.0, 1284.0, 327.0, 36.0], WF1tdYAZk5, 5717979]
