[1755, 1241]
[folio, [672.0, 70.0, 346.0, 36.0], k9FcpaZARL, 5760620]
[paragraph, [297.0, 134.0, 447.0, 36.0], -UPJEHQkZi, 5760620]
[paragraph, [297.0, 170.0, 447.0, 36.0], -UPJEHQkZi, 5760620]
[paragraph, [297.0, 206.0, 447.0, 36.0], -UPJEHQkZi, 5760620]
[paragraph, [297.0, 242.0, 447.0, 36.0], -UPJEHQkZi, 5760620]
[paragraph, [210.0, 289.0, 810.0, 36.0], 4152vIX2Ms, 5760620]
[paragraph, [210.0, 325.0, 810.0, 36.0], 4152vIX2Ms, 5760620]
[paragraph, [210.0, 361.0, 810.0, 36.0], 4152vIX2Ms, 5760620]
[paragraph, [217.0, 412.0, 804.0, 36.0], shoonya_1s8DLGGHWYVNA8, 5760620]
[paragraph, [217.0, 448.0, 804.0, 36.0], shoonya_1s8DLGGHWYVNA8, 5760620]
[paragraph, [217.0, 484.0, 804.0, 36.0], shoonya_1s8DLGGHWYVNA8, 5760620]
[paragraph, [215.0, 530.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 566.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 602.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 638.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 674.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 710.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 746.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 782.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 818.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 854.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 890.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 926.0, 807.0, 36.0], G2GpQY6D86, 5760620]
[paragraph, [215.0, 973.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [215.0, 1009.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [215.0, 1045.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [215.0, 1081.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [215.0, 1117.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [215.0, 1153.0, 797.0, 36.0], M8iz9vSLd_, 5760620]
[paragraph, [282.0, 1254.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1290.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1326.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1362.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1398.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1434.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1470.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1506.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1542.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
[paragraph, [282.0, 1578.0, 548.0, 36.0], nzZ5XnCOYe, 5760620]
