[567, 454]
[paragraph, [36.0, 33.0, 195.0, 18.0], WRtwDwf3dC, 6460651]
[paragraph, [36.0, 51.0, 195.0, 18.0], WRtwDwf3dC, 6460651]
[paragraph, [36.0, 69.0, 195.0, 18.0], WRtwDwf3dC, 6460651]
[paragraph, [36.0, 87.0, 195.0, 18.0], WRtwDwf3dC, 6460651]
[paragraph, [36.0, 105.0, 195.0, 18.0], WRtwDwf3dC, 6460651]
[paragraph, [43.0, 130.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [43.0, 148.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [43.0, 166.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [43.0, 184.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [43.0, 202.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [43.0, 220.0, 189.0, 18.0], ndxezcQxcn, 6460651]
[paragraph, [41.0, 240.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 258.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 276.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 294.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 312.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 330.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 348.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 366.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 384.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [41.0, 402.0, 185.0, 18.0], ox62fOUlV3, 6460651]
[paragraph, [225.0, 255.0, 191.0, 18.0], wm4I4ctTo7, 6460651]
[paragraph, [225.0, 273.0, 191.0, 18.0], wm4I4ctTo7, 6460651]
[paragraph, [225.0, 291.0, 191.0, 18.0], wm4I4ctTo7, 6460651]
[paragraph, [225.0, 309.0, 191.0, 18.0], wm4I4ctTo7, 6460651]
[paragraph, [225.0, 327.0, 191.0, 18.0], wm4I4ctTo7, 6460651]
[paragraph, [224.0, 353.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 371.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 389.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 407.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 425.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 443.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 461.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 479.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [224.0, 497.0, 192.0, 18.0], ngJIZ0KKXB, 6460651]
[paragraph, [35.0, 425.0, 192.0, 18.0], B5sqHW6BRo, 6460651]
[paragraph, [35.0, 443.0, 192.0, 18.0], B5sqHW6BRo, 6460651]
[paragraph, [35.0, 461.0, 192.0, 18.0], B5sqHW6BRo, 6460651]
[paragraph, [35.0, 479.0, 192.0, 18.0], B5sqHW6BRo, 6460651]
[paragraph, [35.0, 497.0, 192.0, 18.0], B5sqHW6BRo, 6460651]
[folio, [35.0, 530.0, 73.0, 18.0], YsaIcjZltl, 6460651]
