[1164, 755]
[chapter-title, [200.0, 269.0, 323.0, 30.0], V6UR2NvQ9m, 5692341]
[chapter-title, [200.0, 299.0, 323.0, 30.0], V6UR2NvQ9m, 5692341]
[paragraph, [70.0, 374.0, 610.0, 18.0], 4CEEuBPbTA, 5692341]
[paragraph, [70.0, 392.0, 610.0, 18.0], 4CEEuBPbTA, 5692341]
[paragraph, [70.0, 410.0, 610.0, 18.0], 4CEEuBPbTA, 5692341]
[paragraph, [70.0, 428.0, 610.0, 18.0], 4CEEuBPbTA, 5692341]
[paragraph, [70.0, 446.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 464.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 482.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 500.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 518.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 536.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 554.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 572.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 590.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 608.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [70.0, 626.0, 613.0, 18.0], shoonya_0s4RVBC5T3U1KN, 5692341]
[paragraph, [67.0, 661.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 679.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 697.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 715.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 733.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 751.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 769.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 787.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 805.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 823.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 841.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
[paragraph, [67.0, 859.0, 616.0, 18.0], NwZ3X0wiEC, 5692341]
