[2338, 1654]
[paragraph, [188.0, 193.0, 1317.0, 36.0], shoonya_3sV92VGSODIGE6, 5753293]
[paragraph, [188.0, 229.0, 1317.0, 36.0], shoonya_3sV92VGSODIGE6, 5753293]
[paragraph, [188.0, 265.0, 1317.0, 36.0], shoonya_3sV92VGSODIGE6, 5753293]
[paragraph, [188.0, 301.0, 1317.0, 36.0], shoonya_3sV92VGSODIGE6, 5753293]
[paragraph, [188.0, 337.0, 1317.0, 36.0], shoonya_3sV92VGSODIGE6, 5753293]
[paragraph, [188.0, 383.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 419.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 455.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 491.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 527.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 563.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 599.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 635.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 671.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 707.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 743.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 779.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 815.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 851.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 887.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 923.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 959.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 995.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1031.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1067.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1103.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1139.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1175.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1211.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1247.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1283.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1319.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1355.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1391.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1427.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[paragraph, [188.0, 1463.0, 1315.0, 36.0], shoonya_1sTKRXW3D08W2C, 5753293]
[ordered-list, [187.0, 1511.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1547.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1583.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1619.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1655.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1691.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1727.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1763.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1799.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1835.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1871.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1907.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1943.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 1979.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 2015.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
[ordered-list, [187.0, 2051.0, 1326.0, 36.0], shoonya_0sMND9VSZ5UHJF, 5753293]
