[2717, 1772]
[folio, [787.0, 232.0, 206.0, 46.5], shoonya_0sA8IJ3IFRLUWM, 5721308]
[paragraph, [205.0, 347.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 393.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 440.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 486.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 533.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 579.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 626.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 672.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 719.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 765.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 812.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 858.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 905.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 951.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 998.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1044.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1091.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1137.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1184.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1230.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1277.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1323.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1370.0, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [205.0, 1416.5, 1371.0, 46.5], n8zhA89LnF, 5721308]
[paragraph, [203.0, 1490.0, 1382.0, 46.5], qMT63BocRn, 5721308]
[paragraph, [203.0, 1536.5, 1382.0, 46.5], qMT63BocRn, 5721308]
[paragraph, [203.0, 1583.0, 1382.0, 46.5], qMT63BocRn, 5721308]
[paragraph, [203.0, 1629.5, 1382.0, 46.5], qMT63BocRn, 5721308]
[paragraph, [203.0, 1676.0, 1382.0, 46.5], qMT63BocRn, 5721308]
[paragraph, [197.0, 1749.0, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [197.0, 1795.5, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [197.0, 1842.0, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [197.0, 1888.5, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [197.0, 1935.0, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [197.0, 1981.5, 1384.0, 46.5], bBAC_dNN2R, 5721308]
[paragraph, [188.0, 2070.0, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2116.5, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2163.0, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2209.5, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2256.0, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2302.5, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2349.0, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2395.5, 1388.0, 46.5], pf0a3yG5va, 5721308]
[paragraph, [188.0, 2442.0, 1388.0, 46.5], pf0a3yG5va, 5721308]
