[1240, 1755]
[section-title, [175.0, 160.0, 164.0, 30.0], v48ByCYVGA, 5764696]
[sidebar, [664.0, 469.0, 125.0, 18.0], dJ_svBvzia, 5764696]
[second-level-question, [127.0, 504.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 522.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 540.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 558.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 576.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 594.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 612.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 630.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[second-level-question, [127.0, 648.0, 677.0, 18.0], shoonya_0sJUWYTDI7521J, 5764696]
[sidebar, [175.0, 722.0, 144.0, 18.0], ObJopMAzeH, 5764696]
[sidebar, [175.0, 740.0, 144.0, 18.0], ObJopMAzeH, 5764696]
[second-level-question, [120.0, 781.0, 232.0, 18.0], UdDDi4rkYR, 5764696]
[second-level-question, [120.0, 799.0, 232.0, 18.0], UdDDi4rkYR, 5764696]
[second-level-question, [120.0, 817.0, 232.0, 18.0], UdDDi4rkYR, 5764696]
[second-level-question, [120.0, 835.0, 232.0, 18.0], UdDDi4rkYR, 5764696]
[second-level-question, [120.0, 853.0, 232.0, 18.0], UdDDi4rkYR, 5764696]
[folio, [460.0, 1103.0, 276.0, 18.0], b8MhnnRoC8, 5764696]
