[1755, 1240]
[paragraph, [260.0, 189.0, 802.0, 36.0], shoonya_5s9FJVUJIQNEWK, 5703753]
[paragraph, [260.0, 225.0, 802.0, 36.0], shoonya_5s9FJVUJIQNEWK, 5703753]
[paragraph, [175.0, 328.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 364.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 400.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 436.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 472.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 508.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 544.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 580.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [175.0, 616.0, 891.0, 36.0], shoonya_0sXSCTNOS1UM5T, 5703753]
[paragraph, [179.0, 696.0, 886.0, 36.0], shoonya_1s9HDLXTZDBTSP, 5703753]
[paragraph, [179.0, 732.0, 886.0, 36.0], shoonya_1s9HDLXTZDBTSP, 5703753]
[paragraph, [250.0, 827.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [250.0, 863.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [250.0, 899.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [250.0, 935.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [250.0, 971.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [250.0, 1007.0, 820.0, 36.0], NzFO2tknog, 5703753]
[paragraph, [156.0, 1079.0, 922.0, 36.0], 2Bk0kJHQgd, 5703753]
[paragraph, [156.0, 1115.0, 922.0, 36.0], 2Bk0kJHQgd, 5703753]
[paragraph, [156.0, 1151.0, 922.0, 36.0], 2Bk0kJHQgd, 5703753]
[paragraph, [156.0, 1187.0, 922.0, 36.0], 2Bk0kJHQgd, 5703753]
[paragraph, [337.0, 1277.0, 375.0, 36.0], shoonya_4sD7L0HMCPLBHY, 5703753]
[paragraph, [334.0, 1355.0, 181.0, 36.0], shoonya_2sH7DL15T64P7Y, 5703753]
[paragraph, [253.0, 1437.0, 806.0, 36.0], jAizh_jk1t, 5703753]
[paragraph, [253.0, 1473.0, 806.0, 36.0], jAizh_jk1t, 5703753]
[paragraph, [253.0, 1509.0, 806.0, 36.0], jAizh_jk1t, 5703753]
