[1755, 1241]
[folio, [194.0, 176.0, 270.0, 36.0], shoonya_1sQIOE36Y4EFAZ, 5760200]
[paragraph, [181.0, 251.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 287.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 323.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 359.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 395.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 431.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 467.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 503.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 539.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 575.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 611.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 647.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 683.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 719.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 755.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 791.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 827.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 863.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 899.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 935.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 971.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 1007.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 1043.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [181.0, 1079.0, 865.0, 36.0], _NrKT93_6N, 5760200]
[paragraph, [178.0, 1134.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1170.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1206.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1242.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1278.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1314.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1350.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1386.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1422.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1458.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1494.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
[paragraph, [178.0, 1530.0, 850.0, 36.0], uDEUoto8Wp, 5760200]
