[1162, 749]
[folio, [333.0, 76.0, 85.0, 18.0], shoonya_2sSR11X5FFMJ25, 5699756]
[paragraph, [82.0, 121.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 139.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 157.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 175.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 193.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 211.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 229.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 247.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 265.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 283.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 301.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 319.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [82.0, 337.0, 591.0, 18.0], shoonya_1sY2ZP9CJFTQ74, 5699756]
[paragraph, [77.0, 369.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 387.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 405.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 423.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 441.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 459.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 477.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 495.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 513.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 531.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 549.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 567.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 585.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 603.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 621.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 639.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 657.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 675.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 693.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 711.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 729.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 747.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 765.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 783.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 801.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 819.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 837.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 855.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 873.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 891.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 909.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [77.0, 927.0, 590.0, 18.0], shoonya_0sI1KDKV4NS6ME, 5699756]
[paragraph, [75.0, 954.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 972.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 990.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 1008.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 1026.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 1044.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
[paragraph, [75.0, 1062.0, 591.0, 18.0], IEmD0SB7yh, 5699756]
