[2339, 1656]
[paragraph, [189.0, 196.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 232.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 268.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 304.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 340.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 376.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 412.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 448.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 484.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 520.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 556.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 592.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 628.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 664.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 700.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 736.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 772.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 808.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 844.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 880.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 916.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 952.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [189.0, 988.0, 1273.0, 36.0], shoonya_1sV3E54UJQETUY, 5731213]
[paragraph, [187.0, 1080.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1116.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1152.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1188.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1224.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1260.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1296.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1332.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1368.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1404.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1440.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1476.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1512.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1548.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1584.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1620.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1656.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1692.0, 1275.0, 36.0], shoonya_0s1YABDM4KBI34, 5731213]
[paragraph, [187.0, 1769.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1805.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1841.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1877.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1913.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1949.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 1985.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
[paragraph, [187.0, 2021.0, 1278.0, 36.0], shoonya_2sQECLTJZSQ9GF, 5731213]
