[1492, 1000]
[folio, [415.0, 162.0, 206.0, 18.0], shoonya_2sTT7FDP8RYUJU, 5720191]
[paragraph, [137.0, 203.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 221.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 239.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 257.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 275.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 293.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 311.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 329.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 347.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 365.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 383.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 401.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 419.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 437.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 455.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 473.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 491.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 509.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 527.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 545.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 563.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 581.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 599.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 617.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 635.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 653.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 671.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 689.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 707.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 725.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 743.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 761.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 779.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 797.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 815.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 833.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [137.0, 851.0, 752.0, 18.0], shoonya_0sPBYP3UIR9D8P, 5720191]
[paragraph, [146.0, 882.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 900.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 918.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 936.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 954.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 972.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 990.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1008.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1026.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1044.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1062.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1080.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1098.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1116.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1134.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1152.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1170.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1188.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1206.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1224.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1242.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1260.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1278.0, 743.0, 18.0], pvSXoy2dee, 5720191]
[paragraph, [146.0, 1296.0, 743.0, 18.0], pvSXoy2dee, 5720191]
