[3509, 2482]
[folio, [861.0, 215.0, 463.0, 52.5], vBrF2zJE5H, 5692052]
[paragraph, [210.0, 338.0, 1771.0, 52.5], HUOXKynush, 5692052]
[paragraph, [210.0, 390.5, 1771.0, 52.5], HUOXKynush, 5692052]
[paragraph, [300.0, 499.0, 843.0, 52.5], Ox-8BVFtX6, 5692052]
[paragraph, [307.0, 583.0, 505.0, 52.5], Ddja1Kkcz3, 5692052]
[paragraph, [220.0, 645.0, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 697.5, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 750.0, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 802.5, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 855.0, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 907.5, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [220.0, 960.0, 1752.0, 52.5], wKJ4NxMvyh, 5692052]
[paragraph, [310.0, 1042.0, 570.0, 52.5], 0XNNTgg12t, 5692052]
[paragraph, [204.0, 1113.0, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1165.5, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1218.0, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1270.5, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1323.0, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1375.5, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [204.0, 1428.0, 1768.0, 52.5], JT7KcQ6NrL, 5692052]
[paragraph, [316.0, 1495.0, 1309.0, 52.5], fevv5YerYC, 5692052]
[paragraph, [294.0, 1585.0, 890.0, 52.5], XmgroGuuFq, 5692052]
[paragraph, [210.0, 1650.0, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1702.5, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1755.0, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1807.5, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1860.0, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1912.5, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [210.0, 1965.0, 1793.0, 52.5], ttB3-IcfBd, 5692052]
[paragraph, [300.0, 2052.0, 196.0, 52.5], shoonya_0sKUEKVCPL9HPM, 5692052]
[paragraph, [316.0, 2119.0, 825.0, 52.5], 7MAkEPZfmX, 5692052]
[paragraph, [316.0, 2205.0, 238.0, 52.5], qLFOy9kxsh, 5692052]
[paragraph, [313.0, 2280.0, 1151.0, 52.5], 5yPawLhHEN, 5692052]
[paragraph, [223.0, 2348.0, 1768.0, 52.5], JXUzuCwoEW, 5692052]
[paragraph, [223.0, 2400.5, 1768.0, 52.5], JXUzuCwoEW, 5692052]
[paragraph, [223.0, 2453.0, 1768.0, 52.5], JXUzuCwoEW, 5692052]
[paragraph, [307.0, 2509.0, 1672.0, 52.5], FFTlVDKjN2, 5692052]
[paragraph, [235.0, 2590.0, 1768.0, 52.5], RxgM2vgn64, 5692052]
[paragraph, [235.0, 2642.5, 1768.0, 52.5], RxgM2vgn64, 5692052]
[paragraph, [322.0, 2742.0, 1175.0, 52.5], ydsAt19HTL, 5692052]
[paragraph, [319.0, 3093.0, 483.0, 52.5], fZ9scTnsjM, 5692052]
[paragraph, [204.0, 3170.0, 1811.0, 52.5], fLs_XbvOJd, 5692052]
[paragraph, [204.0, 3222.5, 1811.0, 52.5], fLs_XbvOJd, 5692052]
[paragraph, [204.0, 3275.0, 1811.0, 52.5], fLs_XbvOJd, 5692052]
