[881, 612]
[folio, [248.0, 27.0, 180.0, 18.0], shoonya_6sUDK7CZBDH7A5, 6460543]
[paragraph, [103.0, 78.0, 376.0, 18.0], shoonya_2sKQQ3KSKDTZX1, 6460543]
[paragraph, [103.0, 96.0, 376.0, 18.0], shoonya_2sKQQ3KSKDTZX1, 6460543]
[paragraph, [100.0, 118.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 136.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 154.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 172.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 190.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 208.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 226.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 244.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 262.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 280.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 298.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 316.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 334.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 352.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 370.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 388.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 406.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 424.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 442.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 460.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 478.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 496.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 514.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 532.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 550.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 568.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 586.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [100.0, 604.0, 470.0, 18.0], shoonya_0s9WMZFSYE5ZIG, 6460543]
[paragraph, [98.0, 635.0, 469.0, 18.0], shoonya_4s8AL3VKR3BTQG, 6460543]
[paragraph, [98.0, 653.0, 469.0, 18.0], shoonya_4s8AL3VKR3BTQG, 6460543]
[paragraph, [98.0, 671.0, 469.0, 18.0], shoonya_4s8AL3VKR3BTQG, 6460543]
[section-title, [278.0, 733.0, 93.0, 30.0], shoonya_1sXJA1WEGICQK3, 6460543]
[paragraph, [145.0, 772.0, 290.0, 18.0], shoonya_5sCGBFEPHS2A53, 6460543]
[paragraph, [145.0, 790.0, 290.0, 18.0], shoonya_5sCGBFEPHS2A53, 6460543]
[paragraph, [145.0, 808.0, 290.0, 18.0], shoonya_5sCGBFEPHS2A53, 6460543]
