[2200, 1700]
[paragraph, [368.0, 55.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 91.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 127.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 163.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 199.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 235.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 271.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 307.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 343.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 379.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 415.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [368.0, 451.0, 1090.0, 36.0], shoonya_0s7W3I0W2PD0BC, 5731082]
[paragraph, [374.0, 520.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 556.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 592.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 628.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 664.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 700.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 736.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 772.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 808.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 844.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 880.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 916.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 952.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 988.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1024.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1060.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1096.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1132.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1168.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1204.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1240.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1276.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1312.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1348.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1384.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1420.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1456.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1492.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
[paragraph, [374.0, 1528.0, 1117.0, 36.0], shoonya_1sIPUEZCV4Z5QL, 5731082]
